ID,item_cnt_month
0,0.4166457
1,0.12490693
2,0.7914813
3,0.16974047
4,0.12490693
5,0.4771502
6,1.0044824
7,0.13470146
8,1.0835899
9,0.12490693
10,2.75414
11,0.2227238
12,0.11699254
13,0.31460583
14,1.8624533
15,2.9807973
16,0.12490693
17,0.12672806
18,1.3467734
19,0.1077239
20,0.6996124
21,0.12490693
22,0.98678225
23,0.7163001
24,1.4827617
25,0.12490693
26,0.12490693
27,0.42568588
28,0.8222318
29,3.2853966
30,0.34405702
31,0.12490693
32,0.37346268
33,0.63571405
34,0.117394134
35,0.119878545
36,0.13091336
37,0.43756735
38,0.227457
39,0.13024619
40,0.5816662
41,1.0085824
42,3.5124106
43,3.6934001
44,0.3694107
45,0.12490693
46,0.69038755
47,0.1708412
48,0.23516822
49,0.9314292
50,1.2113585
51,0.2227238
52,0.6233256
53,0.17702006
54,6.4093204
55,2.8061666
56,2.2894022
57,2.148987
58,5.242188
59,3.9820402
60,4.7722373
61,0.44614965
62,0.3239696
63,0.3481412
64,0.12490693
65,0.12490693
66,0.73692936
67,0.12048816
68,0.3694107
69,0.12127561
70,0.12490693
71,1.6539657
72,0.47503066
73,1.0261201
74,0.12490693
75,0.12490693
76,0.34198064
77,0.12490693
78,0.30439413
79,0.58296657
80,0.803495
81,2.977378
82,0.68850714
83,0.20831063
84,0.878342
85,1.1692563
86,0.5814747
87,0.11571342
88,3.61661
89,1.365527
90,0.78632903
91,0.36226732
92,2.003799
93,0.16974047
94,0.238536
95,0.11606066
96,0.12048816
97,0.40711153
98,0.602191
99,1.4048992
100,1.1361088
101,0.63896257
102,0.20950228
103,0.36226732
104,0.11701463
105,0.12490693
106,0.12490693
107,0.66360337
108,0.12419084
109,0.12490693
110,0.21126449
111,0.12490693
112,0.12490693
113,0.12490693
114,0.26626956
115,0.259209
116,0.12490693
117,0.1326141
118,8.617312
119,0.13925906
120,0.10964459
121,0.11541706
122,0.34042543
123,0.4867558
124,0.49381286
125,1.1951616
126,0.12490693
127,0.116199985
128,0.12490693
129,0.22445177
130,0.36226732
131,0.12490693
132,0.36226732
133,2.8032804
134,0.11332005
135,0.36226732
136,0.2227238
137,0.12490693
138,0.92314583
139,0.12490693
140,0.20560013
141,0.46018118
142,0.13622776
143,0.2227238
144,0.12490693
145,0.12490693
146,0.12490693
147,0.15674861
148,0.12490693
149,0.12490693
150,0.12603581
151,0.12490693
152,5.5341344
153,0.2675465
154,0.12490693
155,0.17997202
156,0.20600186
157,0.11962077
158,0.1703605
159,0.37253565
160,0.12490693
161,0.2227238
162,0.12490693
163,0.4216761
164,0.34548745
165,0.12466697
166,0.54439
167,0.12405693
168,0.12490693
169,0.12194684
170,0.2227238
171,0.47073764
172,0.3453111
173,1.2506641
174,1.6845306
175,3.3918452
176,1.2434756
177,0.12490693
178,0.4535066
179,0.12465827
180,0.9506697
181,0.38735694
182,0.12490693
183,0.13025747
184,0.2163357
185,0.12490693
186,0.122249916
187,0.1622831
188,0.12490693
189,0.12490693
190,0.12490693
191,0.54373455
192,0.5816662
193,0.1482409
194,0.11962077
195,0.15615728
196,0.36226732
197,3.0927963
198,1.1940846
199,0.12490693
200,0.12490693
201,0.12490693
202,0.1723358
203,1.1957067
204,0.12686221
205,0.12490693
206,0.12490693
207,0.11995259
208,1.3470069
209,0.51534337
210,0.22156332
211,0.13641252
212,0.11648276
213,0.36226732
214,0.1291117
215,0.457846
216,0.42657351
217,0.18386745
218,2.3843777
219,0.4190374
220,0.40505037
221,0.12490693
222,0.12490693
223,0.74337333
224,2.5257952
225,0.35261858
226,0.38499686
227,0.12490693
228,0.21775791
229,0.12490693
230,0.12490693
231,0.46383435
232,0.12490693
233,0.3505174
234,0.12490693
235,0.15924665
236,0.1804101
237,0.39923817
238,0.36226732
239,0.26928672
240,0.8005989
241,0.1099846
242,0.12490693
243,0.12490693
244,0.12490693
245,0.22337404
246,1.7110106
247,0.39731544
248,0.40740418
249,0.11992337
250,0.6890598
251,0.17572397
252,0.23455274
253,0.9553316
254,0.33547354
255,5.5341344
256,0.12490693
257,0.17185766
258,0.45203972
259,0.20976523
260,0.11149774
261,0.12553969
262,0.21617544
263,0.12490693
264,0.107671544
265,0.43044287
266,0.12490693
267,0.2227238
268,0.119878545
269,0.12614647
270,0.9902945
271,0.1269782
272,0.17815785
273,0.63896257
274,11.108148
275,0.12490693
276,0.36226732
277,1.335828
278,0.36226237
279,0.19670829
280,0.19273199
281,0.1715551
282,0.12244155
283,0.7172654
284,0.19273199
285,0.24365921
286,0.12490693
287,0.86864775
288,0.23888458
289,0.36226732
290,0.12490693
291,0.122233845
292,0.2506978
293,0.14215097
294,0.7574529
295,0.8145432
296,0.1754871
297,0.14856553
298,0.12490693
299,0.12490693
300,0.12292524
301,0.5035799
302,0.80431825
303,0.71735805
304,0.11962077
305,0.11995259
306,0.19753414
307,0.17095047
308,0.2586771
309,0.12490693
310,0.12490693
311,0.38643336
312,0.8077069
313,0.19670829
314,0.12490693
315,0.36226732
316,0.14483473
317,2.0312872
318,0.11689877
319,0.1758309
320,0.12490693
321,0.11939663
322,0.69275594
323,0.14285177
324,0.40465164
325,0.444839
326,0.35550463
327,0.12490693
328,0.12490693
329,0.365008
330,0.12490693
331,0.12490693
332,0.1644
333,0.2355153
334,0.87971324
335,0.26526558
336,0.12954658
337,0.7663842
338,0.3771215
339,0.391315
340,0.13277449
341,0.21869794
342,0.12490693
343,0.9836382
344,0.121360786
345,0.12720218
346,4.445689
347,3.6547465
348,0.124199346
349,0.27290833
350,0.12490693
351,0.4742341
352,0.12490693
353,0.13955584
354,0.12490693
355,0.12490693
356,0.36226732
357,0.7574529
358,0.56109995
359,0.36226732
360,0.16974047
361,3.2187538
362,0.63896257
363,0.87971324
364,0.5278323
